bin,n,pct_cumulative,unk_pct,osz_mean,osz_strong_pct,evi_mean
0-5,15,2.0,3.3,1.27,13.3,3.87
5-10,2,2.2,0.0,4.00,100.0,4.00
10-15,30,6.2,0.0,3.07,96.7,4.00
15-20,73,15.7,6.2,2.92,86.3,3.75
20-25,115,30.8,4.3,2.64,76.5,3.83
25-30,116,46.1,5.4,2.59,79.3,3.78
30-35,123,62.2,11.0,2.33,66.7,3.56
35-40,107,76.2,13.1,2.34,70.1,3.48
40-45,69,85.3,9.4,2.64,81.2,3.62
45-50,58,92.9,12.1,2.38,69.0,3.52
50-55,34,97.4,7.4,2.06,58.8,3.71
55-60,18,99.7,11.1,2.22,66.7,3.56
60-65,1,99.9,50.0,1.00,0.0,2.00
65-70,1,100.0,50.0,1.00,0.0,2.00
